"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23","tag members refetches on sort change","the useAssetGroupTags utilities","Mon Jan 26 21:58:25 UTC 2026","passed","Mon Jan 26 21:58:25 UTC 2026","","","",""
"Test cases for TestResources_ListADGPOAffectedTierZero","0","TestResources_ListADGPOAffectedTierZero","","Mon Jan 26 21:56:55 UTC 2026","passed","Mon Jan 26 21:56:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADGPOAffectedTierZero","TestResources_ListADGPOAffectedTierZero"
"","0","pwdlastset","Handling value formatting for Active Directory entity properties lastlogon, lastlogontimestamp, whencreated, and pwdlastset","Mon Jan 26 21:58:44 UTC 2026","passed","Mon Jan 26 21:58:44 UTC 2026","","","",""
"","85","displays the value thats passed via children","CodeController","Mon Jan 26 22:01:31 UTC 2026","passed","Mon Jan 26 22:01:31 UTC 2026","","","",""
"","201","Hides selector information if additionalSections is false","EntityInfoDataTableList","Mon Jan 26 21:59:48 UTC 2026","passed","Mon Jan 26 21:59:48 UTC 2026","","","",""
"","76","indicates that filters are active","AssetGroupEdit","Mon Jan 26 21:58:30 UTC 2026","passed","Mon Jan 26 21:58:30 UTC 2026","","","",""
"Test cases for TestResources_GetAssetGroupTags","3","TestResources_GetAssetGroupTags","","Mon Jan 26 21:56:55 UTC 2026","passed","Mon Jan 26 21:56:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetAssetGroupTags","TestResources_GetAssetGroupTags"
"","676","displays correct content based on platform filter Azure","CommonSearches","Mon Jan 26 21:58:29 UTC 2026","passed","Mon Jan 26 21:58:29 UTC 2026","","","",""
"","7","sets autoDisplayTable to false if query returns nodes only but the enabled prop is false","useExploreTableAutoDisplay","Mon Jan 26 22:00:44 UTC 2026","passed","Mon Jan 26 22:00:44 UTC 2026","","","",""
"Test cases for TestResources_GetAssetGroupTagSelectors","0","TestResources_GetAssetGroupTagSelectors","","Mon Jan 26 21:56:55 UTC 2026","passed","Mon Jan 26 21:56:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetAssetGroupTagSelectors","TestResources_GetAssetGroupTagSelectors"
"","523","should not call onSubmit when expired password matches current password when reset password button clicked","PasswordResetForm","Mon Jan 26 21:59:23 UTC 2026","passed","Mon Jan 26 21:59:23 UTC 2026","","","",""
"","45","links to the specified route with global params intact when triggered by a splat route","AppLink","Mon Jan 26 21:59:59 UTC 2026","passed","Mon Jan 26 21:59:59 UTC 2026","","","",""
"Test cases for TestManagementResource_ListAuthTokens_SortingError","0","TestManagementResource_ListAuthTokens_SortingError","","Mon Jan 26 21:57:25 UTC 2026","passed","Mon Jan 26 21:57:25 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListAuthTokens_SortingError","TestManagementResource_ListAuthTokens_SortingError"
"Test cases for TestFoldl","0","TestFoldl","","Mon Jan 26 21:57:38 UTC 2026","passed","Mon Jan 26 21:57:38 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/slicesext/TestFoldl","TestFoldl"
"","2","Edge is created with correct structure including points array","copySigmaEdgesToGraphlibGraph","Mon Jan 26 22:02:44 UTC 2026","passed","Mon Jan 26 22:02:44 UTC 2026","","","",""
"","10","renders highlight only for active selector when ruleId is present","SelectedHighlight","Mon Jan 26 22:00:54 UTC 2026","passed","Mon Jan 26 22:00:54 UTC 2026","","","",""
"","37","renders a preview version by default","PrivilegeZonesCypherEditor Search component for Zone Management","Mon Jan 26 22:00:41 UTC 2026","passed","Mon Jan 26 22:00:41 UTC 2026","","","",""
"","213","toggles a child off","SourceKindsCheckboxes","Mon Jan 26 21:59:07 UTC 2026","passed","Mon Jan 26 21:59:07 UTC 2026","","","",""
"","16","when password is expired and not on password reset page, redirects to password reset page","AuthenticatedRoute","Mon Jan 26 22:02:42 UTC 2026","passed","Mon Jan 26 22:02:42 UTC 2026","","","",""
"Test cases for TestTimeFromPtr","0","TestTimeFromPtr","","Mon Jan 26 21:57:01 UTC 2026","passed","Mon Jan 26 21:57:01 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestTimeFromPtr","TestTimeFromPtr"
"","605","should sort by type","SSOProviderTable","Mon Jan 26 22:00:22 UTC 2026","passed","Mon Jan 26 22:00:23 UTC 2026","","","",""
"Test cases for TestResources_ListADDomainContainedGPOs","0","TestResources_ListADDomainContainedGPOs","","Mon Jan 26 21:56:55 UTC 2026","passed","Mon Jan 26 21:56:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADDomainContainedGPOs","TestResources_ListADDomainContainedGPOs"
"Test cases for TestCORSMiddleware","0","TestCORSMiddleware","","Mon Jan 26 21:56:47 UTC 2026","passed","Mon Jan 26 21:56:47 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/middleware/TestCORSMiddleware","TestCORSMiddleware"
"","200","sums nested section node counts","EntityInfoDataTableGraphed","Mon Jan 26 21:58:41 UTC 2026","passed","Mon Jan 26 21:58:41 UTC 2026","","Node count for nested table that counts all sections","",""
"","279","has date range input filters","FileIngestFilterDialog","Mon Jan 26 21:58:15 UTC 2026","passed","Mon Jan 26 21:58:16 UTC 2026","","Date Range Inputs","",""
"","252","should handle click events on apply and cancel","ConfirmUpdateQueryDialog","Mon Jan 26 22:01:24 UTC 2026","passed","Mon Jan 26 22:01:25 UTC 2026","","","",""
"","127","returns false when no nodes are available","useGraphHasData","Mon Jan 26 22:01:15 UTC 2026","passed","Mon Jan 26 22:01:15 UTC 2026","","","",""
"","58","passes the check for at least one permission if the user is missing one of many required permissions","usePermissions","Mon Jan 26 21:58:40 UTC 2026","passed","Mon Jan 26 21:58:40 UTC 2026","","","",""
"","62","hides loading state when data is available","SourceKindsCheckboxes","Mon Jan 26 21:59:05 UTC 2026","passed","Mon Jan 26 21:59:05 UTC 2026","","","",""
"Test cases for TestResources_ToggleFlag","0","TestResources_ToggleFlag","","Mon Jan 26 21:56:55 UTC 2026","passed","Mon Jan 26 21:56:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ToggleFlag","TestResources_ToggleFlag"
"Test cases for TestBoolIsZero","0","TestBoolIsZero","","Mon Jan 26 21:57:01 UTC 2026","passed","Mon Jan 26 21:57:01 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestBoolIsZero","TestBoolIsZero"
"Test cases for TestDatabaseWipe","4","TestDatabaseWipe","","Mon Jan 26 21:56:55 UTC 2026","passed","Mon Jan 26 21:56:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestDatabaseWipe","TestDatabaseWipe"
"","618","displays a warning dialog when mounted","EarlyAccessFeatures","Mon Jan 26 22:02:33 UTC 2026","passed","Mon Jan 26 22:02:34 UTC 2026","","","",""
"Test cases for TestBoolScan","0","TestBoolScan","","Mon Jan 26 21:57:01 UTC 2026","passed","Mon Jan 26 21:57:01 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestBoolScan","TestBoolScan"
"","618","should allow user to configure 2fa","Enable2FADialog","Mon Jan 26 21:59:37 UTC 2026","passed","Mon Jan 26 21:59:37 UTC 2026","","","",""
"","13","does not add a query param if the search term is empty","useNodeSearch","Mon Jan 26 22:00:52 UTC 2026","passed","Mon Jan 26 22:00:52 UTC 2026","","","",""
"Test cases for TestResources_GetShortestPath","13","TestResources_GetShortestPath","","Mon Jan 26 21:56:55 UTC 2026","passed","Mon Jan 26 21:56:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetShortestPath","TestResources_GetShortestPath"
"Test cases for TestResources_ShareSavedQueriesPermissions_SavingPermissionsErrors","0","TestResources_ShareSavedQueriesPermissions_SavingPermissionsErrors","","Mon Jan 26 21:56:55 UTC 2026","passed","Mon Jan 26 21:56:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ShareSavedQueriesPermissions_SavingPermissionsErrors","TestResources_ShareSavedQueriesPermissions_SavingPermissionsErrors"
"","14","renders an error fallback when flag is not found","FeatureFlag","Mon Jan 26 22:00:40 UTC 2026","passed","Mon Jan 26 22:00:40 UTC 2026","","","",""
"","366","should display a ""Configure Multi-Factor Authentication"" modal","UserProfile","Mon Jan 26 21:59:30 UTC 2026","passed","Mon Jan 26 21:59:30 UTC 2026","","""Multi-Factor Authentication Enabled"" switch is enabled","",""
"","423","navigates to object details when clicking an object row","ObjectsAccordion","Mon Jan 26 21:59:46 UTC 2026","passed","Mon Jan 26 21:59:47 UTC 2026","","","",""
"","425","on clicking switch shows modal and when clicking cancel closes it and switch stays disabled","CitrixRDPConfiguration","Mon Jan 26 21:58:36 UTC 2026","passed","Mon Jan 26 21:58:37 UTC 2026","","Click on switch to enable","",""
"","367","Should call handler when a member is clicked","AssetGroupMemberList","Mon Jan 26 22:01:03 UTC 2026","passed","Mon Jan 26 22:01:03 UTC 2026","","","",""
"","85","clears selected if same note is clicked again","NoteCell component","Mon Jan 26 22:00:27 UTC 2026","passed","Mon Jan 26 22:00:27 UTC 2026","","","",""
"Test cases for TestBuildErrorResponseBadRequest","0","TestBuildErrorResponseBadRequest","","Mon Jan 26 21:56:43 UTC 2026","passed","Mon Jan 26 21:56:43 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestBuildErrorResponseBadRequest","TestBuildErrorResponseBadRequest"
"Test cases for TestGetMFAActivationStatus_Failure","0","TestGetMFAActivationStatus_Failure","","Mon Jan 26 21:57:42 UTC 2026","passed","Mon Jan 26 21:57:42 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestGetMFAActivationStatus_Failure","TestGetMFAActivationStatus_Failure"
"Test cases for TestResources_ListTrustedCAs","1","TestResources_ListTrustedCAs","","Mon Jan 26 21:56:55 UTC 2026","passed","Mon Jan 26 21:56:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListTrustedCAs","TestResources_ListTrustedCAs"
"","574","has status filters","FileIngestFilterDialog","Mon Jan 26 21:58:14 UTC 2026","passed","Mon Jan 26 21:58:14 UTC 2026","","Status Select","",""
"","39","shows the empty form message when Cypher Rule Form is empty","Seed Selection Results","Mon Jan 26 21:58:21 UTC 2026","passed","Mon Jan 26 21:58:21 UTC 2026","","","",""
"Test cases for TestWriteResponseWrapperWithPagination","0","TestWriteResponseWrapperWithPagination","","Mon Jan 26 21:56:43 UTC 2026","passed","Mon Jan 26 21:56:43 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestWriteResponseWrapperWithPagination","TestWriteResponseWrapperWithPagination"
"","227","opens and closes the dialog with the cancel button","Tag Form","Mon Jan 26 21:57:38 UTC 2026","passed","Mon Jan 26 21:57:38 UTC 2026","","","",""
"","310","handles a selection as expected","DropdownSelector","Mon Jan 26 22:00:37 UTC 2026","passed","Mon Jan 26 22:00:37 UTC 2026","","","",""
"","1110","should eventually render previously configured SSO providers","SSOConfiguration","Mon Jan 26 21:58:29 UTC 2026","passed","Mon Jan 26 21:58:30 UTC 2026","","","",""
"","517","adds node to asset group tag with confirmation","AssetGroupMenuItem","Mon Jan 26 21:58:35 UTC 2026","passed","Mon Jan 26 21:58:35 UTC 2026","","","",""
"","1075","should render with a full list of multiple tenants and domains","Simple Environment Selector","Mon Jan 26 21:57:56 UTC 2026","passed","Mon Jan 26 21:57:57 UTC 2026","","","",""
"","890","should render a create user form","CreateUserDialog","Mon Jan 26 21:58:02 UTC 2026","passed","Mon Jan 26 21:58:03 UTC 2026","","","",""
"Test cases for TestPermissionsCheckAll","0","TestPermissionsCheckAll","","Mon Jan 26 21:56:47 UTC 2026","passed","Mon Jan 26 21:56:47 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/middleware/TestPermissionsCheckAll","TestPermissionsCheckAll"
"","49","should style the powered-by to display when nav is expanded","MainNav","Mon Jan 26 21:58:13 UTC 2026","passed","Mon Jan 26 21:58:13 UTC 2026","","","",""
"","12","renders nothing if flag is disabled and disabled prop is not provided","FeatureFlag","Mon Jan 26 22:00:40 UTC 2026","passed","Mon Jan 26 22:00:40 UTC 2026","","","",""
"Test cases for TestSavedQueries_ValidFilters","0","TestSavedQueries_ValidFilters","","Mon Jan 26 21:57:02 UTC 2026","passed","Mon Jan 26 21:57:02 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/model/TestSavedQueries_ValidFilters","TestSavedQueries_ValidFilters"
"","1","returns query config when searchType is relationship and all required params are passed","useExploreGraph","Mon Jan 26 21:59:08 UTC 2026","passed","Mon Jan 26 21:59:08 UTC 2026","relationship search queries","exploreGraphQueryFactory","",""
"Test cases for TestManagementResource_UpdateUser_ETAC","3539","TestManagementResource_UpdateUser_ETAC","","Mon Jan 26 21:57:22 UTC 2026","passed","Mon Jan 26 21:57:25 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_UpdateUser_ETAC","TestManagementResource_UpdateUser_ETAC"
"Test cases for TestResources_ListADGPOAffectedUsers","0","TestResources_ListADGPOAffectedUsers","","Mon Jan 26 21:56:55 UTC 2026","passed","Mon Jan 26 21:56:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADGPOAffectedUsers","TestResources_ListADGPOAffectedUsers"
"","15","should filter properties that we do not want to display in the entity panel","ObjectInfoFields","Mon Jan 26 22:01:18 UTC 2026","passed","Mon Jan 26 22:01:18 UTC 2026","","","",""
"Test cases for TestManagementResource_DeleteOIDCProvider","0","TestManagementResource_DeleteOIDCProvider","","Mon Jan 26 21:57:43 UTC 2026","passed","Mon Jan 26 21:57:43 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_DeleteOIDCProvider","TestManagementResource_DeleteOIDCProvider"
"Test cases for TestRequireAllEnvironmentAccessMiddleware","0","TestRequireAllEnvironmentAccessMiddleware","","Mon Jan 26 21:56:47 UTC 2026","passed","Mon Jan 26 21:56:47 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/middleware/TestRequireAllEnvironmentAccessMiddleware","TestRequireAllEnvironmentAccessMiddleware"
"","0","The user has yet to type into the search","Getting the text for the disabled item display for a search when there are no results","Mon Jan 26 21:59:49 UTC 2026","passed","Mon Jan 26 21:59:49 UTC 2026","","Empty data states","",""
"","1","lastlogon, lastlogontimestamp","Handling value formatting for Active Directory entity properties lastlogon, lastlogontimestamp, whencreated, and pwdlastset","Mon Jan 26 21:58:44 UTC 2026","passed","Mon Jan 26 21:58:44 UTC 2026","","","",""
"","91","allows a consumer to swap the values of the two inputs and update the query params accordingly","usePathfindingSearch","Mon Jan 26 21:59:25 UTC 2026","passed","Mon Jan 26 21:59:25 UTC 2026","","","",""
"","883","handles adding to tier zero asset group","AssetGroupMenuItem","Mon Jan 26 22:02:12 UTC 2026","passed","Mon Jan 26 22:02:13 UTC 2026","","adding to an asset group","",""
"","171","should render tag to Label content","TagToZoneLabelDialog","Mon Jan 26 21:59:41 UTC 2026","passed","Mon Jan 26 21:59:42 UTC 2026","","","",""
"","190","Download button causes the json2csv function to be called","ExploreTable","Mon Jan 26 21:57:33 UTC 2026","passed","Mon Jan 26 21:57:33 UTC 2026","","","",""
"","1","does not change the day, month, or year value of the DateTime object","floorToNearestMinute","Mon Jan 26 22:01:04 UTC 2026","passed","Mon Jan 26 22:01:04 UTC 2026","","","",""
"","20","renders custom icon overlap correctly","NodeIcon","Mon Jan 26 22:01:09 UTC 2026","passed","Mon Jan 26 22:01:09 UTC 2026","","","",""
"","2","should compute normal vectors for line segments","bezier","Mon Jan 26 22:02:36 UTC 2026","passed","Mon Jan 26 22:02:36 UTC 2026","","","",""
"Test cases for TestTextUnmarshalFloat","0","TestTextUnmarshalFloat","","Mon Jan 26 21:57:01 UTC 2026","passed","Mon Jan 26 21:57:01 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestTextUnmarshalFloat","TestTextUnmarshalFloat"
"Test cases for TestManagementResource_SAMLCallbackHandler","10","TestManagementResource_SAMLCallbackHandler","","Mon Jan 26 21:57:43 UTC 2026","passed","Mon Jan 26 21:57:43 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_SAMLCallbackHandler","TestManagementResource_SAMLCallbackHandler"
"","18","dedupes edges before adding them to the graph","Explore utils","Mon Jan 26 22:02:25 UTC 2026","passed","Mon Jan 26 22:02:25 UTC 2026","","initGraph","",""
"Test cases for TestUnmarshalString","0","TestUnmarshalString","","Mon Jan 26 21:57:01 UTC 2026","passed","Mon Jan 26 21:57:01 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestUnmarshalString","TestUnmarshalString"
"","212","should display ""Disable Multi-Factor Authentication?"" title","Enable2FADialog","Mon Jan 26 22:00:26 UTC 2026","passed","Mon Jan 26 22:00:26 UTC 2026","","","",""
"Test cases for TestManagementResource_ListPermissions_InvalidFilterPredicate","0","TestManagementResource_ListPermissions_InvalidFilterPredicate","","Mon Jan 26 21:57:02 UTC 2026","passed","Mon Jan 26 21:57:02 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListPermissions_InvalidFilterPredicate","TestManagementResource_ListPermissions_InvalidFilterPredicate"
"","455","calls onSave without current password when requireCurrentPassword is false","PasswordDialog","Mon Jan 26 21:57:58 UTC 2026","passed","Mon Jan 26 21:57:58 UTC 2026","","","",""
"","117","should fire Confirm once with true","ConfirmationDialog","Mon Jan 26 22:01:35 UTC 2026","passed","Mon Jan 26 22:01:35 UTC 2026","","","",""
"","642","should not allow the input to exceed the allowed length","CreateUserForm","Mon Jan 26 21:58:06 UTC 2026","passed","Mon Jan 26 21:58:06 UTC 2026","","","",""
"","115","should call onCancel when return to login button clicked","OneTimePasscodeForm","Mon Jan 26 22:01:02 UTC 2026","passed","Mon Jan 26 22:01:02 UTC 2026","","","",""
"Test cases for TestParseUserIP_RemoteAddrOnly","0","TestParseUserIP_RemoteAddrOnly","","Mon Jan 26 21:56:47 UTC 2026","passed","Mon Jan 26 21:56:47 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/middleware/TestParseUserIP_RemoteAddrOnly","TestParseUserIP_RemoteAddrOnly"
"","335","does not render an edit form for the selected asset group when a user does not have graph write permissions","GroupManagement","Mon Jan 26 22:02:33 UTC 2026","passed","Mon Jan 26 22:02:33 UTC 2026","","","",""
"","854","opens and closes the filter","FileIngestFilterDialog","Mon Jan 26 21:58:13 UTC 2026","passed","Mon Jan 26 21:58:14 UTC 2026","","","",""
"Test cases for TestMarshalBool","0","TestMarshalBool","","Mon Jan 26 21:57:01 UTC 2026","passed","Mon Jan 26 21:57:01 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestMarshalBool","TestMarshalBool"
"","3899","should clear state when logout action is dispatched","redux store","Mon Jan 26 22:02:44 UTC 2026","passed","Mon Jan 26 22:02:48 UTC 2026","","","",""
"Test cases for TestGetLatestQueryParameter","0","TestGetLatestQueryParameter","","Mon Jan 26 21:56:55 UTC 2026","passed","Mon Jan 26 21:56:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestGetLatestQueryParameter","TestGetLatestQueryParameter"
"","0","calls transformToFlatGraphResponse when graphData matches GraphResponse interface","normalizeGraphDataForSigma","Mon Jan 26 22:02:50 UTC 2026","passed","Mon Jan 26 22:02:50 UTC 2026","","","",""
"Test cases for TestManagementResource_DeleteUser_UserNotFound","0","TestManagementResource_DeleteUser_UserNotFound","","Mon Jan 26 21:57:17 UTC 2026","passed","Mon Jan 26 21:57:17 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_DeleteUser_UserNotFound","TestManagementResource_DeleteUser_UserNotFound"
"Test cases for TestManagementResource_EnrollMFA","6395","TestManagementResource_EnrollMFA","","Mon Jan 26 21:57:25 UTC 2026","passed","Mon Jan 26 21:57:32 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_EnrollMFA","TestManagementResource_EnrollMFA"
"","97","prevents a user from proceeding if the file is not valid","File Upload","Mon Jan 26 21:59:16 UTC 2026","passed","Mon Jan 26 21:59:16 UTC 2026","","","",""
"Test cases for TestMarshalFloatText","0","TestMarshalFloatText","","Mon Jan 26 21:57:01 UTC 2026","passed","Mon Jan 26 21:57:01 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestMarshalFloatText","TestMarshalFloatText"
"Test cases for TestFeatureFlag_HA","303","TestFeatureFlag_HA","","Mon Jan 26 21:56:58 UTC 2026","passed","Mon Jan 26 21:56:59 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/daemons/changelog/TestFeatureFlag_HA","TestFeatureFlag_HA"
"Test cases for TestTenantRoles","0","TestTenantRoles","","Mon Jan 26 21:57:21 UTC 2026","passed","Mon Jan 26 21:57:21 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/analysis/azure/TestTenantRoles","TestTenantRoles"
"Test cases for TestNormalizeToUTF8_LargeInput","0","TestNormalizeToUTF8_LargeInput","","Mon Jan 26 21:57:22 UTC 2026","passed","Mon Jan 26 21:57:22 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/bomenc/TestNormalizeToUTF8_LargeInput","TestNormalizeToUTF8_LargeInput"
"","1","takes updatedParams and current URLSearchParams and returns a function","searchParams","Mon Jan 26 22:00:17 UTC 2026","passed","Mon Jan 26 22:00:17 UTC 2026","","setSingleParamFactory","",""
"Test cases for TestBuildErrorResponseConflict","0","TestBuildErrorResponseConflict","","Mon Jan 26 21:56:43 UTC 2026","passed","Mon Jan 26 21:56:43 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestBuildErrorResponseConflict","TestBuildErrorResponseConflict"
"Test cases for TestInt64ValueOrZero","0","TestInt64ValueOrZero","","Mon Jan 26 21:57:01 UTC 2026","passed","Mon Jan 26 21:57:01 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestInt64ValueOrZero","TestInt64ValueOrZero"
"","241","should display filter dropwdowns","CommonSearches","Mon Jan 26 21:58:28 UTC 2026","passed","Mon Jan 26 21:58:28 UTC 2026","","","",""
"Test cases for TestGormLogAdapter_Info","0","TestGormLogAdapter_Info","","Mon Jan 26 21:57:01 UTC 2026","passed","Mon Jan 26 21:57:01 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/TestGormLogAdapter_Info","TestGormLogAdapter_Info"
"","65","displays ! icon when one of the Affected Object calls fail","EntityInfoDataTable","Mon Jan 26 21:58:44 UTC 2026","passed","Mon Jan 26 21:58:44 UTC 2026","","Node count for nested table that counts all sections","",""
"","117","should have a disabled continue button","TagToZoneLabelDialog","Mon Jan 26 21:59:42 UTC 2026","passed","Mon Jan 26 21:59:42 UTC 2026","","","",""
"","11","calls the provided notification method","handleError","Mon Jan 26 22:00:20 UTC 2026","passed","Mon Jan 26 22:00:20 UTC 2026","","","",""
"Test cases for TestGraphQuery_PrepareCypherQuery","35","TestGraphQuery_PrepareCypherQuery","","Mon Jan 26 21:57:04 UTC 2026","passed","Mon Jan 26 21:57:04 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/queries/TestGraphQuery_PrepareCypherQuery","TestGraphQuery_PrepareCypherQuery"
"Test cases for TestStringEqual","0","TestStringEqual","","Mon Jan 26 21:57:01 UTC 2026","passed","Mon Jan 26 21:57:01 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestStringEqual","TestStringEqual"
"","0","fails for password without special characters","testPassword","Mon Jan 26 22:01:46 UTC 2026","passed","Mon Jan 26 22:01:46 UTC 2026","","","",""
"Test cases for TestUnmarshalNonIntegerNumberToInt64","0","TestUnmarshalNonIntegerNumberToInt64","","Mon Jan 26 21:57:01 UTC 2026","passed","Mon Jan 26 21:57:01 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestUnmarshalNonIntegerNumberToInt64","TestUnmarshalNonIntegerNumberToInt64"
"","247","should render","Rule Object Select","Mon Jan 26 22:00:31 UTC 2026","passed","Mon Jan 26 22:00:31 UTC 2026","","","",""
"Test cases for TestFloatPointer","0","TestFloatPointer","","Mon Jan 26 21:57:01 UTC 2026","passed","Mon Jan 26 21:57:01 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestFloatPointer","TestFloatPointer"
"Test cases for TestParseSkipQueryParameter","0","TestParseSkipQueryParameter","","Mon Jan 26 21:56:55 UTC 2026","passed","Mon Jan 26 21:56:55 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestParseSkipQueryParameter","TestParseSkipQueryParameter"
"","243","eventually displays a list of early access features when warning dialog is accepted","EarlyAccessFeatures","Mon Jan 26 22:02:34 UTC 2026","passed","Mon Jan 26 22:02:34 UTC 2026","","","",""
"","0","`undefined` input is provided","Parsing the debounced input for type and keyword values","Mon Jan 26 21:59:49 UTC 2026","passed","Mon Jan 26 21:59:49 UTC 2026","","","",""
"Test cases for TestGetNodeKindDisplayLabel","0","TestGetNodeKindDisplayLabel","","Mon Jan 26 21:57:18 UTC 2026","passed","Mon Jan 26 21:57:18 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/analysis/TestGetNodeKindDisplayLabel","TestGetNodeKindDisplayLabel"
"Test cases for TestFloatFrom","0","TestFloatFrom","","Mon Jan 26 21:57:01 UTC 2026","passed","Mon Jan 26 21:57:01 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestFloatFrom","TestFloatFrom"
"Test cases for TestIntEqual","0","TestIntEqual","","Mon Jan 26 21:57:01 UTC 2026","passed","Mon Jan 26 21:57:01 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestIntEqual","TestIntEqual"
"","997","should disable save button while input is empty","SaveQueryDialog","Mon Jan 26 21:57:35 UTC 2026","passed","Mon Jan 26 21:57:36 UTC 2026","","","",""
"Copyright 2021 The Go Authors. All rights reserved.TestConcat was ripped from go1.22 source and should be replaced with the stdlib implementation when we move to 1.22Original source: https:","0","TestConcat_too_large","","Mon Jan 26 21:57:38 UTC 2026","passed","Mon Jan 26 21:57:38 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/slicesext/TestConcat_too_large","TestConcat_too_large"
"","185","shows an error state","AssetGroupMenuItem","Mon Jan 26 21:58:35 UTC 2026","passed","Mon Jan 26 21:58:35 UTC 2026","","","",""
"","64","initializes search tab to node search if the exploreSearchTab is not a supported tab name on first render","ExploreSearch sets searchType on tab changing","Mon Jan 26 22:02:16 UTC 2026","passed","Mon Jan 26 22:02:16 UTC 2026","","","",""
"Test cases for TestManagementResource_ListRoles_Filtered","0","TestManagementResource_ListRoles_Filtered","","Mon Jan 26 21:57:02 UTC 2026","passed","Mon Jan 26 21:57:02 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListRoles_Filtered","TestManagementResource_ListRoles_Filtered"
